Crunchbase Rank,Company Name,Total Funding,Number of Employees,Scraped Jobs Count
4947,Coinsquare,98470114,51-100,39
4982,Bitrefill,9100000,11-50,9
4984,Bancor,152310000,101-250,
4997,Simplex,19000000,101-250,
5037,SuperRare,9000000,1-10,33
5039,Delta One,9100000,,
5052,Tokens.com,37924040,1-10,
5109,Treehouse Finance,20350000,51-100,1
5110,Star Atlas,10000000,11-50,3
5114,Flare Network,11300000,11-50,4
5120,Onyze,1297609,11-50,
5141,CoinSwitch Kuber,300603815,101-250,88
5143,White Sands,8000000,1-10,
5146,Solidus Labs,38500000,11-50,15
5200,BitFlyer,37529618,11-50,2
5232,Alchemy,563903667,251-500,98
5232,Alchemy,563903667,251-500,57
5293,ultiverse,9500000,,
5327,SIMBA Chain,28500000,11-50,6
5352,WalletConnect,12500000,1-10,10
5377,VeriTX,4500000,1-10,
5394,Matter Labs,58000000,1-10,36
5421,TMGcore,70000000,101-250,
5457,VIA,19220932,11-50,
5460,COTI,500000,11-50,
5506,Prometheum,42000000,11-50,
5515,BitClout,200000000,1-10,
5525,Tenderly,58630000,11-50,
5562,Lido,143000000,,7
5618,Klaytn,90000000,101-250,
5647,Airtm,24700000,51-100,
5696,Bithumb,200000000,101-250,
5735,1kx,0,1-10,1
5749,Aleph Zero,16300000,11-50,
5753,Shakepay,35984093,51-100,77
5761,HyperProof,22281000,11-50,
5765,IXX.com,5000000,11-50,
5803,River Financial,17700000,51-100,32
5812,Upland,20000000,51-100,
5847,FTX Ventures,,,
5865,ErisX,47500000,11-50,7
5867,Umee,38300000,,1
5925,Bybit,,,35
5937,Thirdweb,5000000,1-10,2
5937,Baller Mixed Reality,1000000,1-10,
5939,Nomad,22400000,,
5943,Spring Labs,68750000,51-100,21
5943,Spring Labs,68750000,51-100,9
5944,Celestia,1500000,1-10,4
5956,Tendermint,9000000,11-50,39
5960,Block Tackle,5000000,,
6016,Taki,3450000,,
6018,Diginex,107575035,11-50,
6039,Fantom Foundation,40000000,11-50,1
6048,Talos Trading,40000000,11-50,
6083,Concept Art House,25000000,51-100,18
6139,CMS Holdings,0,1001-5000,
6208,Zama,51600000,11-50,
6220,POAP,10000000,11-50,9
6236,ParaFi Capital,0,1-10,
6250,InfStones,81700000,11-50,
6285,Crypterium,21647612,101-250,
6314,Iron Fish,32900000,1-10,2
6325,Avocado Guild,18000000,11-50,
6381,Cantaloupe,103832800,101-250,
6397,Tagomi,40725857,11-50,
6404,Delta Exchange,5000000,11-50,7
6456,Cake DeFi,2400000,11-50,18
6533,Subspace Labs,37975000,11-50,12
6533,Subspace Labs,37975000,11-50,10
6534,Saddle Finance,11800000,1-10,
6537,Paradigm,36650000,11-50,107
6549,Merkle Science,6553425,1-10,9
6550,CoinFLEX,11250000,51-100,1
6558,Stardust,6700000,1-10,16
6587,YellowHeart,3700000,1-10,
6591,Fetch.AI,26000000,11-50,
6617,Starlight,5400000,1-10,
6627,prePO,3200000,,3
6642,Metaversal,67809980,11-50,
6695,Zap Solutions,18404901,11-50,
6695,Set Labs,16000000,11-50,21
