Company Name,Job Title,Tags,Posted Before
Coinbase,"Program Management Associate, NFT Marketplace",remote:non-tech:marketing:trading:legal:operations:business-development:web3:compliance:dao:defi:nft:finance:data:full-time,29d
Stardust Cards Corporation,Site Reliability Engineer,remote:developer:engineering:python:defi:nft:finance:full-time,29d
Stardust Cards Corporation,Senior Database-Backend,remote:research:developer:engineering:python:typescript:nft:finance:full-time,29d
Brave,"Product Marketing Manager, Wallet",remote:marketing:research:developer:engineering:web3:dao:javascript:dex:defi:nft:manager:data:full-time,28d
Nethermind,Ethereum Core Developer,remote:developer:engineering:rust:evm:dao:c-plus-plus:dex:data:full-time,7d
Nethermind,Golang Engineer - StarkNet Client,remote:developer:golang:evm:dex:data:full-time,7d
HOKK Finance,Community Manager,community:content:social-media:dao:finance:manager:full-time:remote,28d
Desmos Partners,Quant Developer & Analyst,remote:legal:analyst:operations:developer:engineering:compliance:director:python:c-plus-plus:manager:data:solidity:full-time,28d
Galaxy Guild,Senior Developer,developer:golang:rust:react:solana:javascript:full-time:engineering,15d
Xportal,Sales and Business Development Lead,remote:pay-in-crypto:marketing:sales:business-development:full-time,9d
The SolaVerse,Three.js/3D/WebGL Developer,developer:react:javascript:pay-in-crypto:full-time:engineering,17d
Bunzz,Designing our tokenomics for build developer's ecosystem,content:developer:web3:full-time:engineering:remote,24d
SpaceBorne,Game economist,remote:full-time:designer:pay-in-crypto:design,22d
Blockfinex/ Dan Holdings ,Corporate Controller/ Junior Platform Accountant,remote:developer:exchange:junior-level:finance:data:full-time,20d
Mawson Inc,Assistant General Manager,operations:developer:engineering:mining:compliance:manager:full-time,3d
Autonomy Network,Talent Acquisition / Recruiter,remote:content:developer:web3:recruiter:talent-acquisition:full-time,8d
KodaDot,Senior Business and Operations Manager,marketing:operations:manager:pay-in-crypto:full-time:engineering:developer,24d
La Meilleure Formation,Head of Community (Gaming),remote:marketing:community:discord:manager:data:full-time:engineering:developer,20d
Bridgesplit,Lead Product Designer,marketing:product-designer:full-time:web3:designer:solana:engineering:developer,21d
Studio Decent- Undra,Lead Developer- Elixer/ LiveView blockchain gaming,developer:director:junior-level:frontend:manager:full-time:remote,7d
C3,Low Level Smart Contract Engineer (Remote Americas and Europa Time zone),remote:content:security:developer:engineering:finance:data:solidity:pay-in-crypto:full-time,16d
Coinbase,"Senior Content Designer, Platform",remote:trading:legal:content:dao:designer:defi:nft:finance:data:full-time,25d
Coinbase,Senior Site Reliability Engineer,remote:trading:legal:developer:engineering:dao:junior-level:defi:nft:finance:data:full-time,16d
Coinbase,Technical Partner Manager - NFTs,remote:non-tech:trading:sales:legal:business-development:engineering:dao:defi:nft:finance:manager:data:full-time,25d
Coinbase,"Senior Manager, Business Development - NFTs",remote:non-tech:marketing:trading:legal:business-development:web3:compliance:dao:defi:nft:finance:manager:data:full-time,20d
Coinbase,"QA Manager, Institutional",remote:trading:legal:operations:exchange:dao:quality-assurance:defi:nft:finance:manager:data:full-time,25d
Coinbase,Technical Trainer,remote:trading:legal:content:product-manager:engineering:react:dao:javascript:defi:nft:finance:manager:data:full-time,25d
Coinbase,"Director, Payments Business Development",remote:trading:legal:business-development:compliance:director:dao:defi:nft:finance:data:full-time,28d
Coinbase,"Manager, Creator Management - NFTs",remote:non-tech:marketing:trading:legal:community:business-development:web3:dao:defi:nft:finance:manager:data:full-time,26d
Coinbase,"Manager, Business Development - NFTs",remote:non-tech:marketing:trading:legal:business-development:web3:dao:defi:nft:finance:manager:data:full-time,26d
Acala,Solidity Engineer,remote:community:security:full-time:developer:engineering:exchange:web3:rust:evm:defi:polkadot:substrate:manager:solidity,27d
Acala,"Product Manager, DeFi & DAO",remote:research:community:product-manager:full-time:developer:engineering:exchange:web3:rust:dao:defi:polkadot:substrate:manager:data,21d
MoonPay,Head of Sales Operations,remote:research:sales:operations:web3:recruiter:manager:full-time,19d
Braintrust,Business Analysis / Project Management [REMOTE],remote:research:data:full-time,26d
MoonPay,KYC Onboarding Analyst (Poland),remote:research:legal:analyst:compliance:kyc:recruiter:data:full-time,23d
MoonPay,Customer Onboarding Manager (Poland),remote:research:legal:aml:compliance:director:recruiter:manager:data:full-time,23d
MoonPay,Senior Data Scientist,remote:research:developer:compliance:python:data:full-time,19d
MoonPay,Customer Operations Analyst (EMEA),remote:research:legal:analyst:operations:compliance:kyc:social-media:recruiter:data:full-time,20d
Parity Technologies,Talent Acquisition Recruiter (Non Tech),remote:non-tech:analyst:developer:rust:social-media:recruiter:talent-acquisition:polkadot:substrate:full-time,19d
Polygon,Business IT Architect (REMOTE),remote:legal:developer:polygon:compliance:discord:data:full-time,27d
Polygon,DeFi Community Manager/Engager (REMOTE),remote:marketing:legal:community:community-management:content:developer:polygon:web3:discord:defi:manager:data:full-time,27d
Braintrust,"Lead iOS Engineer (US only, No C2C)",remote:freelance:developer:engineering:remote-usa:swift:manager:data,23d
MoonPay,Senior Site Reliability Engineer (SRE),remote:research:security:developer:engineering:compliance:typescript:recruiter:finance:full-time,1m
Braintrust,"Product Manager, Client Experience",remote:research:sales:community:product-manager:freelance:developer:engineering:defi:manager:data:full-time,29d
AP Capital,Senior/Quant Developer,remote:trading:research:developer:engineering:python:finance:data:full-time,22d
Polygon,Design Program Manager - Marketing,remote:marketing:legal:operations:developer:polygon:social-media:director:discord:defi:manager:data:full-time,29d
Polygon,Business IT Architect - Business Enterprise,remote:legal:developer:polygon:compliance:discord:data:full-time,20d
Polygon,DeFi Marketing lead,remote:marketing:legal:community:community-management:business-development:developer:polygon:discord:dao:defi:data:full-time,20d
Polygon,3D Designer -  Visual Design,remote:marketing:legal:developer:polygon:web3:social-media:director:discord:designer:data:full-time,20d
Polygon,Blockchain Security Engineer,remote:legal:security:developer:polygon:golang:rust:discord:data:solidity:full-time,20d
Polygon,Content Lead,remote:marketing:legal:community:content:developer:polygon:web3:social-media:discord:defi:nft:finance:data:full-time,20d
Polygon,Designer - Business Enterprise,remote:legal:developer:polygon:discord:designer:data:full-time,20d
AP Capital Investment ,Community Manager,marketing:community:community-management:content:social-media:discord:manager:full-time:engineering:developer,22d
DappRadar,Decentralized Applications Specialist,remote:sales:discord:data:pay-in-crypto:full-time:memes,27d
Web3 Foundation,Technical Educator,remote:devops:research:legal:community:developer:web3:rust:c-plus-plus:javascript:polkadot:data:solidity:full-time:engineering,10d
KuCoin,English Native Proofreader / Editor,operations:ui-ux:finance:manager:pay-in-crypto:full-time:content,13d
Outlier Ventures,PR Manager,marketing:content:web3:finance:manager:pay-in-crypto:full-time:remote,1m
Orbit EVM ,Solidity/CosmWasm Engineer,community:developer:engineering:exchange:rust:evm:solana:javascript:solidity:bsc:full-time:remote,8d
Premia,Content Writer,remote:marketing:trading:legal:community:content:content-writer:full-time:part-time:defi:finance:pay-in-crypto,1m
Toptal,"Senior React Developer – Full-time, Remote",remote:full-time:developer:react:javascript:frontend:data:engineering,13d
Wintermute,Associate General Counsel,trading:legal:compliance:dao:defi:finance:full-time,29d
Braintrust,"Marketing Strategist (US only, No C2C)",remote:marketing:content:freelance:developer:social-media:executive:remote-usa:manager:data,23d
Anchorage Digital,"Product Manager, Trading Platforms",remote:trading:research:community:product-manager:operations:security:engineering:defi:finance:manager:full-time,25d
Electric Coin Company,Head of Regulatory Relations,remote:research:legal:security:aml:compliance:finance:full-time,29d
Metropolis World,Frontend Engineer,remote:web3:react:javascript:frontend:full-time:engineering:developer,27d
The Cake,Tech Co-founder for Working MVP Chat App,remote:marketing:sales:content:operations:security:business-development:developer:web3:discord:data:full-time:engineering,1m
IDEO,Senior Director - Web3 & Decentralized Financial Services,marketing:research:community:operations:security:web3:director:defi:finance:data:full-time:remote,9d
Aldrin Labs,Senior Back-End Developer Web3 (Remote),remote:developer:exchange:web3:golang:typescript:data:pay-in-crypto:full-time:engineering,23d
Autonomy Network,Senior Project Manager,remote:project-manager:web3:manager:full-time,8d
Stratos ,UX/UI Designer,research:community:designer:frontend:design,21d
Mammoth Media,Web3 Marketing Manager - Brand Experiences,remote:marketing:research:sales:content:web3:social-media:manager:full-time,13d
SubQuery,Marketing Manager,marketing:community:content:developer:avalanche:web3:social-media:discord:polkadot:substrate:frontend:manager:data:full-time:remote,29d
FreeWill,Growth Hacker (Cryptocurrency),remote:marketing:sales:community:content:business-development:full-time:developer:engineering:data,14d
Ripple ,"Manager, Diversity & Inclusion",research:operations:manager:data:full-time,27d
Ripple ,"Director, Global Payroll",operations:compliance:director:finance:manager:full-time,27d
Ripple ,Staff Platform Engineer,devops:security:engineering:python:manager:data:full-time,26d
Ripple ,"Software Engineer, Engineering Productivity (New Grad)",developer:engineering:golang:python:manager:data:full-time,18d
Ripple ,"Senior Financial Analyst, RippleNet FP&A",marketing:sales:analyst:operations:business-development:director:executive:finance:manager:data:full-time,18d
Ripple ,"Software Engineer, RippleNet Payments",legal:security:business-development:engineering:manager:full-time,26d
OpenSea,Blockchain Data Scientist,remote:community:web3:python:defi:nft:data:full-time,26d
Ripple ,Senior Staff Platform Engineer,devops:research:operations:security:engineering:python:manager:data:full-time,25d
Ripple ,"Manager, Global Payroll",compliance:director:finance:manager:full-time,27d
Ripple ,"Software Engineer, Engineering Productivity (Summer 2022 Intern)",internship:developer:engineering:phd:golang:python:full-time:entry-level,18d
Celsius,Benefits Specialist,remote:legal:community:manager:full-time,26d
AZA Finance,"Lead Engineer, Ruby on Rails",trading:developer:engineering:react:javascript:finance:manager:full-time,20d
AZA Finance,Junior AML Investigations Analyst,trading:legal:analyst:aml:compliance:junior-level:finance:manager:full-time,19d
CryptoCompare,Mid Data Analyst,research:sales:legal:analyst:operations:developer:engineering:compliance:python:dex:finance:data:full-time,16d
Wintermute,Middle Office Specialist,trading:legal:analyst:operations:developer:compliance:python:defi:finance:full-time,20d
Zenith Chain UAB,Senior Operations Manager,marketing:operations:full-time:manager:engineering:developer,22d
Tri7,International Sales Manager,marketing:sales:operations:developer:social-media:discord:defi:manager:full-time:engineering:remote,29d
TEA Project,Social Media Manager,marketing:research:sales:content:social-media:manager:data:pay-in-crypto:full-time:remote,24d
"Candle Labs, Inc.",Chief Technology Officer (CTO),marketing:sales:community:operations:security:developer:engineering:phd:quality-assurance:defi:finance:full-time:executive:remote,19d
Valora Inc.,Full Stack Engineer,marketing:developer:engineering:react:typescript:react-native:data:solidity:full-time:remote,1m
TruePNL,CMO (Head of Marketing),remote:marketing:trading:community:freelance:full-time:manager:pay-in-crypto,15d
CryptoCopywriters.com,Blockchain Copywriter,marketing:research:content:content-writer:web3:social-media:manager:full-time:remote,4d
Flipside Crypto,gm/DAO,remote:marketing:legal:community:web3:executive:dao:solana:data:full-time,1m
Ripple ,"Business Development Senior Manager, RippleNet EMEA",marketing:sales:legal:business-development:compliance:finance:manager:full-time,29d
Galaxy Digital Services,Strategy Associate,marketing:trading:research:sales:community:operations:executive:finance:full-time,29d
Block,"Head of Bitcoin & Crypto Policy, Block",legal:operations:developer:compliance:recruiter:full-time,16d
Celsius,DevOps Group Manager,devops:community:security:developer:quality-assurance:manager:full-time,28d
Cash App,"Senior Software Engineer, Crypto Network",legal:developer:recruiter:full-time,16d
Cash App,Crypto Brand Lead,marketing:legal:community:developer:executive:recruiter:manager:full-time,16d
Galaxy Digital Services,2022 Mining Intern,research:internship:mining:finance:data:full-time:entry-level,28d
DFINITY,"Software Engineer, Financial Integrations",research:developer:engineering:rust:full-time,28d
Terraform Labs,R&D Engineer,remote:trading:developer:defi:nft:full-time,27d
Braintrust,Sr. Product Manager - Digital Enrollments for Loans (US Only),remote:product-manager:freelance:developer:executive:remote-usa:manager:data,18d
Braintrust,"Sr. iOS Engineer - UI (W2 / Benefits, US/CAN only, no C2C)",remote:freelance:developer:engineering:swift,23d
Braintrust,Product Designer,remote:research:product-designer:freelance:developer:designer:javascript:defi:full-time,29d
Braintrust,Senior UX Designer,remote:research:freelance:developer:designer:javascript:data:full-time,29d
Braintrust,"Product Manager (Global, No C2C)",remote:product-manager:business-development:freelance:developer:engineering:exchange:dex:defi:manager,18d
Parity Technologies,Community Manager North America,remote:marketing:community:content:developer:engineering:social-media:discord:polkadot:manager:data:full-time,19d
Parity Technologies,Community Manager APAC,remote:marketing:community:content:developer:engineering:social-media:discord:polkadot:manager:data:full-time,16d
Braintrust,"Sr. iOS Developer - SwiftUI/UIKit (W2/benefits, US only, no C2C)",remote:legal:freelance:developer:remote-usa:swift:quality-assurance:data,23d
Terraform Labs,"Program Manager, Grants",remote:trading:legal:community:project-manager:developer:compliance:defi:nft:finance:manager:full-time,27d
Braintrust,"Senior Full Stack Developer - React, GraphQL",remote:marketing:freelance:developer:engineering:social-media:react:senior-level:react-native:frontend,19d
Braintrust,Senior Web3 / Blockchain Developer,remote:devops:community:freelance:developer:web3:rust:defi:frontend:data:solidity,19d
Celsius,HR Project Manager - RGP,project-manager:manager,20d
Celsius,Due Diligence Manager (Remote),remote:research:legal:community:content:project-manager:operations:business-development:compliance:quality-assurance:manager:data:full-time,19d
Braintrust,"Sr. IT Project Manager (US only, no C2C, remote)",remote:sales:project-manager:freelance:remote-usa:manager:data,23d
Braintrust,"Product Owner - DeFi Dashboard (B2B, B2C) (Global, No C2C)",remote:product-manager:freelance:developer:engineering:exchange:web3:defi:nft:finance:manager:data,18d
GRIT Search,Blockchain Engineer,developer:web3:evm:javascript:solidity:full-time:engineering:remote,1m
DataTribe,Aspiring Web3 CEO/CTO,developer:web3:executive:react:dao:defi:frontend:solidity:full-time,3d
Secondary,All,community:developer:defi:manager:solidity:full-time:remote,3d
WOWswap,Senior Solidity Engineer,remote:security:developer:rust:evm:react:senior:solana:typescript:defi:solidity:full-time,1d
CryptoSlate,Account Executive,research:sales:content:operations:full-time:executive:pay-in-crypto:community:remote,1m
TheCronicleNews,Research Director,remote:research:director:data:pay-in-crypto:full-time:community,21d
GameStar,Social Media Manager and Blogger,remote:content:social-media:manager:pay-in-crypto:full-time:community,23d
Mars Base,Community / support manager,community:content:discord:manager:full-time,2d
Ethereum,Devcon Front-End Web Developer,remote:community:operations:security:full-time:developer:web3:react:frontend,1m
Flipside Crypto,Project Manager - Marketing,remote:marketing:community:project-manager:operations:developer:engineering:finance:manager:data:full-time,28d
Offchain Labs,Technical writer,remote:content:security:developer:phd:nft:full-time,26d
GameStar,Product Manager,product-manager:developer:exchange:javascript:manager:pay-in-crypto:full-time:design,20d
Brave,Account Manager,remote:marketing:research:sales:engineering:javascript:dex:manager:data:full-time,25d
Laser Wallet,SR. React Native Engineer,remote:developer:evm:react:typescript:react-native:full-time:engineering,11d
TruePNL,Business Developer,remote:full-time:developer:finance:data:engineering,15d
Advanced Blockchain AG,Substrate Rust Senior Developer,remote:research:security:full-time:developer:engineering:rust:defi:polkadot:substrate,14d
MetaPrime,Frontend Engineer | VueJS | Kusama/Polkadot,remote:full-time:engineering:developer,22d
CryptoPSR,Blockchain Data Integration For Our Completed Frontend,javascript:typescript:frontend:data:pay-in-crypto:full-time:engineering:developer,27d
Trade Crypto,Senior Crypto Journalist (Deep Expertise in Crypto Industry Needed),remote:content:ui-ux:defi:pay-in-crypto:full-time:trading,1m
Utopia Labs,Product Designer,remote:research:community:product-designer:full-time:developer:engineering:web3:discord:dao:designer:defi,16d
Flipside Crypto,Business Analyst,remote:marketing:community:analyst:operations:engineering:finance:data:full-time,25d
Paradigm,VP of Finance,remote:legal:operations:compliance:director:executive:finance:full-time,23d
Utopia Labs,Security Engineer,remote:community:security:developer:engineering:web3:discord:dao:full-time,16d
Utopia Labs,Business Development Lead,remote:trading:sales:community:business-development:exchange:web3:discord:dao:data:full-time,16d
Utopia Labs,Senior Frontend Engineer,remote:community:security:full-time:developer:engineering:web3:discord:react:dao:javascript:typescript:frontend,16d
Utopia Labs,General Counsel,remote:research:legal:security:web3:compliance:discord:dao:finance:full-time,16d
Dx,Dx Sales Representatives,sales:content:pay-in-crypto:full-time:internship:remote,1m
Brave,"Product Marketing Manager, Ads & Rewards",remote:marketing:research:sales:developer:engineering:web3:javascript:dex:defi:manager:data:full-time,28d
Paradigm,Solutions Architect,remote:trading:sales:developer:engineering:exchange:react:python:quality-assurance:finance:full-time,23d
Galaxy Digital Services,"Relationship Manager, Fund Partnerships",research:sales:legal:compliance:dex:manager:data:full-time,23d
